company_name,industry_category,sub_industry,location_area,district,zone_type,distance_km,company_type,employee_estimate,materials_used,adhesive_type_needed,product_needed,application_type,purchase_stage,expected_monthly_volume_liters,order_frequency,urgency_days,payment_terms_expected,has_google_listing,google_review_count,has_phone,credibility_level,lead_source,lead_bucket,lead_score
Company_0001,Footwear,Shoe Upper Factory,Tongi,Gazipur,Industrial Zone,23.8,Manufacturer,Medium (50-249),Leather,Unknown,PU Adhesive,Bonding,Trial Order,375,Weekly,25,Credit,Yes,9,Yes,Medium,Walk-in,Cold,47
Company_0002,Footwear,Footwear Accessories Supplier,Tejgaon,Dhaka,Industrial Zone,8.3,Retailer,Micro (1-9),Leather,SR,SR Adhesive,Assembly,Regular Reorder,28,One-time,36,Unknown,Yes,18,Yes,Medium,Facebook Page,Cold,38
Company_0003,Packaging,Plastic Packaging Manufacturer,Motijheel,Dhaka,Central Dhaka,2,Manufacturer,Medium (50-249),Mixed/Unknown,Unknown,General Purpose Adhesive,Assembly,Regular Reorder,429,Monthly,16,Unknown,Yes,165,Yes,High,Referral,Warm,78
Company_0004,Construction,PVC Sheet Workshop,Savar,Dhaka,Industrial Zone,34.9,Manufacturer,Small (10-49),Wood,Unknown,PU Adhesive,Bonding,Annual Contract,172,Monthly,25,Cash,Yes,53,Yes,High,Facebook Page,Warm,77
Company_0005,Packaging,Label Printing Unit,Gazipur,Gazipur,Industrial Zone,36,Trader,Micro (1-9),Mixed/Unknown,SR,SR Adhesive,Lamination,Regular Reorder,0,One-time,31,Cash,Yes,23,Yes,Medium,Distributor Referral,Cold,39
Company_0006,Packaging,Corrugated Box Factory,Tejgaon,Dhaka,Industrial Zone,2.7,Manufacturer,Micro (1-9),Mixed/Unknown,SR,SR Adhesive,Bonding,Regular Reorder,339,Monthly,7,Cash,No,0,Yes,Low,WhatsApp,Warm,57
Company_0007,Retail/Trading,Wholesale Store,Tejgaon,Dhaka,Industrial Zone,17.3,Distributor,Small (10-49),Mixed/Unknown,Unknown,General Purpose Adhesive,Assembly,Regular Reorder,191,Monthly,26,Cash,Yes,15,Yes,Medium,Walk-in,Save For Later,33
Company_0008,Packaging,Label Printing Unit,Keraniganj,Dhaka,Near Highway,13.2,Manufacturer,Small (10-49),Plastic,SR,SR Adhesive,Assembly,Regular Reorder,978,Weekly,3,Unknown,Yes,92,No,Medium,Referral,Hot,92
Company_0009,Packaging,Label Printing Unit,Savar,Dhaka,Industrial Zone,33.4,Trader,Small (10-49),Paper/Board,PU,PU Adhesive,Assembly,Trial Order,99,Monthly,47,Unknown,Yes,63,Yes,High,WhatsApp,Cold,49
Company_0010,Other,General Workshop,Uttara,Dhaka,Mixed Zone,7.6,Manufacturer,Small (10-49),Wood,PU,PU Adhesive,Bonding,Regular Reorder,0,Monthly,48,Cash,Yes,33,No,Medium,Website Inquiry,Cold,49
Company_0011,Other,Small Enterprise,Savar,Dhaka,Industrial Zone,43.8,Trader,Micro (1-9),Wood,Unknown,PU Adhesive,Assembly,Trial Order,35,Monthly,27,Unknown,Yes,2,Yes,Medium,Facebook Page,Reject,11
